actual,model,stock
122.458,128.44456976345788,60.914
123.206,129.16477843207667,62.492
123.777,129.31485352136687,62.775
123.634,128.0592666424349,59.206
123.285,127.73104644681734,58.595
122.833,126.19884781885315,55.125
122.393,125.90209035764916,54.13
122.172,125.5425490154636,53.105
122.801,126.49877775654622,55.435
122.911,126.56842581237258,55.935
123.097,125.52125617286673,53.685
123.177,125.70463520604598,53.785
123.059,126.18714584020691,54.625
122.935,127.49878934911672,58.11
122.986,126.5824227871854,56.245
122.929,125.99258057258606,55.18
122.981,125.91230062163969,55.375
122.963,126.13804894262378,55.545
123.16,124.56313029137812,51.215
123.018,123.82347419193746,48.703
123.102,123.51535134607921,49.223
123.201,123.36872783389319,49.275
123.102,123.12123171937988,49.095
123.334,123.21702715309499,49.335
122.969,123.43120388753482,50.06
122.968,123.24064881239481,49.92
123.058,123.72802101915632,50.42
123.4,124.48235191563533,52.235
123.75,125.20765737946414,54.05
126.45,125.53246356519364,54.555
128.469,126.44050559825938,56.915
128.781,126.48914608724108,56.915
129.125,126.38808204510792,56.135
128.248,126.45458374439187,55.95
128.282,126.19767355703951,56.02
128.178,126.74732669792859,57.45
128.088,126.6025222510199,56.84
127.745,127.2808847231752,58.54
127.995,126.41193501008684,57.185
127.781,125.92652894610325,56.495
126.739,125.07977082999305,53.325
125.134,125.21916748139904,53.605
123.85,125.04664824125075,52.96
122.141,124.68438895894388,51.705
121.105,124.11265264984623,50.905
120.911,123.77423870882288,50.74
120.305,124.11872910003737,51.21
118.566,124.9337254850297,52.905
119.247,125.55666793134002,54.21
121.788,125.69765029683319,54.965
120.774,124.32278995706994,51.26
120.0,123.27409113966105,48.358
118.902,122.53524423861543,47.193
118.82,122.99699473188055,48.23
118.734,123.81808546977663,50.01
118.019,122.81475130701232,48.13
117.036,122.2843663965938,46.58
116.464,122.2926598693295,46.76
116.267,123.37341862429724,49.04
117.137,123.84032889609011,50.585
117.212,123.95329758179251,50.7
117.356,123.8868656491689,50.585
118.14,124.42475125265587,51.685
118.573,124.42616411634472,51.74
118.404,125.22532352157083,53.48
118.528,125.88318600558526,54.76
118.778,125.105807716492,52.545
118.895,124.04763529993616,50.33
118.911,124.34533553194869,51.43
119.24,124.59784769821125,52.79
119.699,125.18630341624757,53.82
119.978,125.02377809215474,53.95
121.301,124.97041904805032,53.625
121.5,124.89991762060798,53.215
122.034,125.76534877017926,55.27
122.033,126.20277705288065,56.555
122.034,127.06039221395369,58.48
122.041,126.74635566824261,57.56
121.667,126.54305657612026,57.495
121.646,126.45574236335844,57.385
121.812,125.71118422031013,55.625
122.439,127.45855184821436,60.135
122.521,127.9817391535095,61.075
122.521,128.599509543162,63.025
122.771,129.02707807725483,64.22
123.189,129.402654432785,64.92
123.957,129.11054011670677,64.1
124.155,128.9155542383785,63.24
124.51,127.94776302057274,61.415
125.178,128.57133151334799,62.765
125.429,129.0395443132589,64.095
125.599,128.9844498957575,64.485
125.875,129.1366173103703,64.5
125.958,128.51850041408946,62.655
125.78,128.96962375436073,64.065
126.375,129.1515384793242,64.525
126.925,128.99093852676955,63.655
127.676,129.10261216664708,64.575
129.41,129.40361975268615,65.415
130.104,129.35469687269037,64.745
129.925,129.56091594584296,65.425
130.125,130.199386066197,67.235
130.352,129.79674669497277,67.19
129.196,129.5104628131359,66.515
129.437,129.9788632882209,68.385
129.063,130.67172806130753,70.2
128.801,130.23370332029248,68.185
126.311,129.64400259245218,67.185
126.607,129.91018122364682,67.91
126.968,129.6329451198548,66.09
126.5,128.00057250015323,61.21
125.928,127.71626614975852,60.11
125.417,126.22267581993644,56.645
120.746,125.00393384909736,53.555
123.904,127.65376442478956,60.985
123.482,127.41910159099938,60.365
123.167,127.4628968315551,59.505
123.6,127.76142281657812,60.54
122.744,126.79709024890684,57.735
122.719,126.78225159942781,57.275
121.816,127.05017442823646,58.155
120.604,126.49265174513904,56.355
121.415,125.90458309291297,54.925
117.5,126.17234127434725,55.83
117.375,126.01234219967,55.48
113.675,124.41092096407365,50.565
115.166,120.25939133937686,53.895
116.09,126.48959598336641,56.86
116.793,126.58714595040679,56.68
117.391,126.80786959624405,57.405
117.369,126.34472238839955,55.865
117.222,126.52168788841782,57.215
116.937,126.11496970937881,55.43
115.729,125.76940846692375,53.95
115.273,125.03445937146282,51.775
114.937,125.54869917282515,53.445
114.793,126.04337382081846,55.825
114.928,125.716902529282,54.325
115.4,125.59030537599133,54.885
115.288,126.00571826755478,55.465
115.685,126.1140684932056,55.635
116.112,126.52101993846703,57.195
116.107,126.10971193143232,56.375
116.958,126.34158090697514,56.675
117.03,127.49508964318134,58.985
116.92,127.38817089014896,58.68
116.912,126.50950560266911,56.37
116.501,125.78887427307006,54.265
116.869,126.14025116105046,55.415
116.127,125.45182735023127,53.83
115.984,125.65441608615049,53.705
114.985,124.89169907385515,52.205
115.004,125.63856511394391,54.605
115.075,125.90931457170889,54.785
115.869,126.68808058663475,56.945
116.621,127.10059103884387,58.195
117.107,127.7361806918213,60.705
118.377,128.2419733744645,61.705
119.02,128.41087444780302,62.22
119.45,128.88131322980394,63.87
120.319,128.33066443646564,63.035
120.057,128.03705814856025,61.92
120.037,127.42587655375664,59.605
120.043,127.21824641330961,59.25
120.175,127.41695694826083,59.83
121.534,127.60284452154283,61.015
121.533,128.47424158041568,63.54
121.459,128.17618932494221,63.51
