actual,model,stock
99.9307,100.33754966885745,7.11
100.0,100.3614627666691,7.13
99.9977,100.37024433365127,7.14
99.8655,100.33250105208029,7.21
99.8655,100.32035189487817,7.21
100.0,100.28114987730115,7.14
100.4779,100.38464673781777,7.14
100.4349,100.3649690884515,7.14
100.5219,100.32234039568748,7.14
100.642,100.33481973301542,7.09
99.853,100.40418820338385,7.11
100.7003,100.39747761033902,7.2
100.518,100.35735598432109,7.15
100.6492,100.3332013960292,7.23
100.6,101.31604051444702,7.23
100.4668,101.32714311879093,7.25
100.0,101.15105845621281,7.31
100.0,101.56769493305984,7.17
100.0,101.84701359634643,6.97
101.1037,102.16778084535565,6.63
101.2534,102.3008874285245,6.62
101.4029,102.33526771586199,6.69
101.4156,102.34949159334718,6.62
101.3903,102.42460002987347,6.65
101.5576,102.49228681588895,6.74
101.5431,102.43366132921564,6.7
101.8178,102.4223999518534,6.71
100.769,102.3744986942965,6.76
101.6723,102.42927361608528,6.77
101.094,102.58055637171651,6.71
102.07,102.48025904516284,6.64
101.9424,102.50866962437738,6.65
102.3837,102.90336486880369,6.4
102.9749,104.93593810909523,6.25
102.9995,105.17581677127224,6.42
103.094,105.05836020846004,6.43
102.6893,104.68179052306783,6.38
102.7,104.51906867368024,6.39
102.6252,104.04404239824736,6.32
101.8142,102.21059510129285,6.43
101.2686,101.14453967907005,6.43
101.2413,101.1551894350178,6.4
101.0182,101.21597977696626,6.4
101.0227,101.20614041152538,6.35
101.02,101.25353031692495,6.38
100.8437,101.01255812458132,6.28
100.9263,101.11687444207598,6.68
100.8007,101.04602988591824,7.25
100.6424,100.96478401074968,7.25
100.6865,100.89898611141382,7.23
100.4954,100.6530410749034,7.17
100.0306,100.78359126000977,6.5
100.0873,100.78016359907474,6.12
99.5548,100.99669513603057,6.37
99.5659,100.3435632183086,6.2
99.6053,100.32394693906417,6.22
99.6053,100.32725542711805,6.22
99.292,100.19097522648292,6.16
98.9714,100.12887601328892,6.2
98.9989,99.9538620762317,6.17
98.9348,99.9145992003345,6.13
98.8611,99.86576769500374,6.11
98.792,99.8869804441756,6.22
98.8281,99.83263521874451,6.18
98.829,99.97335313485388,6.14
98.5821,99.97704388819639,6.19
98.5821,99.91599738292514,6.17
98.4719,99.65782422274349,6.4
98.4315,99.56034888280163,6.35
98.4326,99.64353475019,6.43
98.6938,99.14438542776136,6.43
98.7646,99.1634043999435,6.41
98.7262,99.37560869358316,6.23
98.7134,99.38591084183815,6.24
98.7185,99.40930080083115,6.27
99.3962,99.96926544582047,6.25
99.4193,100.06841762709698,6.2
99.6089,100.3129616574906,6.26
99.606,100.48162420484505,6.31
100.024,100.48515460942453,6.34
100.2325,100.55969521877037,6.49
100.2325,100.73719330736212,6.58
100.1995,100.54485676151103,6.55
100.1967,100.32359271037222,6.69
100.1958,100.0564193886561,6.76
100.126,99.91859245101452,6.95
100.1605,99.98519581029458,6.78
100.0909,100.07777642032337,6.74
100.0062,99.4521839085836,6.73
100.0029,99.03609802324323,6.66
99.755,98.93211973141106,6.63
99.6289,98.9891959018471,6.92
99.612,99.15228992144404,7.16
99.7122,99.1775400026774,7.29
99.5545,99.24294819559742,7.38
99.6548,99.24974836748781,7.26
99.6742,99.18644553697143,7.05
99.9478,98.96921513409819,7.34
99.9528,99.05142351874737,7.22
100.1322,98.89866641590028,7.58
100.1589,98.99391188517171,7.45
100.3147,98.97242345259511,7.42
100.3144,98.9644589953106,7.21
100.3178,99.01006870718577,7.33
100.3849,99.03422161249185,7.27
100.4892,99.15062332957282,7.06
100.8091,99.09032456522698,7.24
100.8242,99.05604349639488,7.25
100.9154,99.19655985259395,7.28
101.0996,99.29016025637029,7.34
101.2043,99.29318332139044,7.24
101.3031,99.42551112478733,7.26
101.2307,99.42342185597285,7.26
101.0833,99.78631677303511,7.12
101.1961,100.03224937913805,7.08
101.1835,99.90400895454354,7.03
100.9206,100.13381384476446,6.95
101.0211,100.35022219249275,6.73
101.1133,100.39115423187113,6.87
101.2191,100.41119571741467,6.95
101.1425,100.36442923328438,6.99
100.3294,100.36920595726154,6.97
100.3304,100.34448523947154,6.93
101.2371,100.36822161806361,6.94
101.1226,100.46685958442544,6.87
101.3255,100.44113367554628,6.85
101.3245,100.38674918106412,7.0
101.3558,100.4235124700079,7.02
101.3415,100.42053545294783,6.97
101.3538,100.19149386078627,7.02
100.8396,100.37346438858029,6.86
101.4504,100.30796898610467,6.83
101.3696,100.23404890854793,6.81
101.3099,100.22247330108297,6.79
101.3089,100.22422575733394,6.79
101.1125,100.00668804321529,6.72
101.118,99.84693966051624,6.72
101.1109,99.86230127398957,6.68
100.9479,99.92007352032249,6.65
101.0445,99.91680499395498,6.67
101.0172,100.02408326585956,6.62
101.0745,100.11222239772752,6.67
101.0687,100.22443630914475,6.74
101.0714,100.15252611799352,6.64
101.2696,100.22166895372298,6.59
101.4586,100.4648241667869,6.68
101.6925,100.39920716845134,6.69
101.9154,100.44221713089557,6.67
101.9104,100.75391030625325,6.57
101.73,100.67003981017069,6.48
102.5171,101.26073767133026,5.8
102.5211,101.21090589141512,5.88
102.4543,101.41907432096367,5.82
102.7417,101.51364375014141,5.71
102.5429,101.39025791814352,5.83
102.7242,101.00890019402516,5.89
102.6957,100.87373078417914,5.87
102.2557,100.88990395429636,5.85
102.2587,100.94993111536719,5.77
102.2887,101.04588549555396,5.95
102.3416,100.97629574104869,5.96
102.4054,100.93894206161687,6.01
102.3096,100.91687770088359,6.22
102.2448,100.82040353956529,6.23
101.7,100.65329641863715,6.15
102.0326,100.90771966808236,5.95
101.9088,100.73237788628124,5.93
101.7671,100.6869548744144,5.9
101.5029,100.95728443472942,5.97
101.5913,100.94139331511958,6.04
101.3473,100.89818474284593,6.09
101.1967,100.93330904164277,6.05
101.2009,100.97229985778412,6.04
101.1951,100.96915787708663,6.04
101.3078,100.84661450513241,6.0
101.4465,100.77510448549714,6.01
101.8485,100.96494993722051,6.01
101.8485,100.97501091827328,5.97
102.045,101.07579713952029,5.99
102.045,101.12335978260934,5.9
102.1439,101.10278365112494,5.86
102.1541,101.11267837870574,5.84
102.1891,101.20350700702745,5.81
102.1891,101.17576627113317,5.84
102.1677,101.18557529444313,5.82
101.25,101.14588728948219,5.87
102.2244,101.21129957115252,5.85
102.2163,101.23400988876219,5.83
102.2615,101.26228453546626,5.84
102.3233,101.17596980724957,5.83
102.4375,101.22260555469722,5.83
102.6273,101.26918166557027,5.84
102.6538,101.31892845104858,5.81
102.6767,101.33740525719465,5.82
102.6223,101.32542363943617,5.82
102.6678,101.3315494177756,5.76
102.6357,101.34024587383834,5.76
102.6382,101.35767697459997,5.79
102.6307,101.36656510445276,5.8
102.6305,101.2886567438306,5.81
102.5282,101.33926413386386,5.85
102.6745,101.32774380681714,5.89
102.6161,101.24514754948918,5.91
102.6388,101.25515606597767,5.88
102.6761,101.10160360603848,5.83
102.6582,101.10898567639049,5.84
101.84,100.86388406790495,5.87
101.841,100.93655477081886,5.88
102.576,101.04813116530946,5.91
102.9362,101.31488047717775,5.91
102.9582,101.40511573545167,6.03
102.9402,101.39847783030073,6.05
102.854,101.43418736515817,6.12
102.859,101.503209099396,6.14
102.9881,101.47553615323258,6.08
103.0298,101.565969358122,5.98
103.107,101.9572088680442,6.07
103.1695,101.99358531897217,6.05
103.1282,102.06548234593447,6.13
103.136,102.21565339221391,5.99
103.1272,102.15727997045171,6.13
103.1318,102.3233176535718,6.29
103.0956,102.38281655448257,6.33
103.0956,102.20192681925059,6.37
102.9798,102.24892480817572,6.26
102.9762,102.31069056802392,6.21
102.8895,102.21104570395308,6.25
102.8895,101.9605923193901,6.3
102.9363,101.69589403319156,6.27
102.3628,101.45475143057098,6.06
102.7186,101.4435554972535,6.08
102.724,101.33644745010315,6.17
102.5342,101.36971312137479,6.14
102.1682,101.38381377366315,6.07
102.0447,101.4422801462525,6.0
102.4439,101.27574536849934,5.95
102.3334,101.27554352067352,5.99
102.2895,101.37811123998117,6.05
102.2826,101.36042267716765,5.96
102.4716,101.16404934181625,5.82
102.406,101.1082644857922,5.89
102.4167,101.13057874270885,5.87
102.4157,101.22369876172709,5.99
102.4069,101.01643152151637,5.95
102.4112,100.96400975555373,6.02
102.384,100.952972836354,6.03
102.4858,100.96163007012777,6.09
102.5415,100.95936245539005,6.19
101.32,100.9967178341973,6.29
102.7075,101.29526466355708,6.28
102.7659,101.30183224745514,6.25
102.6656,101.32904835619209,6.25
102.7352,97.37677802771137,6.26
102.7273,101.61192345803703,6.23
102.7146,101.56664527629889,6.12
102.6419,101.72197844286833,6.11
102.7527,101.84886189262102,6.06
102.8202,101.4975492324825,6.05
102.7704,101.62490216989173,6.01
102.8561,101.72510052206712,6.0
102.9973,101.67061188465036,5.96
102.9926,101.77604548444546,5.96
103.0629,101.7916998804809,6.0
103.0824,101.88390956278181,6.0
103.1074,102.07642612395401,5.96
103.1725,102.16395564259744,5.98
103.2328,102.12952193440091,5.96
103.2662,102.04623495927773,5.98
103.1755,102.0822805320884,5.97
103.3139,102.03722505735767,6.0
103.2811,102.24030103241394,6.03
103.3925,102.32431563673536,6.02
101.28,102.28572985488798,5.98
101.15,102.21317488067395,5.97
102.7682,102.01067980434958,5.93
102.7335,102.04774141830013,5.97
102.9103,102.09984536116532,6.0
102.9153,102.09584676061515,5.96
102.8892,102.0604445253681,6.01
102.8841,102.02565589835918,6.0
102.8741,102.12997698743274,6.01
102.9652,102.20498931786857,6.03
102.5057,102.22494055439138,6.0
102.8419,102.33291664901057,6.04
102.876,102.33398965880193,6.01
102.871,102.26165966489432,6.0
102.8214,102.22761927307518,6.02
102.6995,102.41820396530281,6.06
102.7618,102.49753400838529,6.08
102.7076,102.22262816152073,6.11
102.6888,102.29241371741026,6.08
102.7296,102.27776831017758,6.09
102.2645,102.36509553249991,5.71
102.9379,102.44281807743818,5.75
103.049,102.43608030309679,5.67
103.0506,102.51934641375001,5.58
103.1355,102.58156129279206,5.49
103.1459,102.70009066582097,5.57
102.744,102.70270188245442,5.59
103.207,102.62984427357927,5.65
103.3058,102.63162199499455,5.58
103.4045,102.47629263864803,5.6
103.3826,102.48390789093675,5.62
103.4168,102.55544802338781,5.62
103.4532,102.57192143094979,5.61
103.4403,102.52894380284478,5.61
103.4453,102.5781097495731,5.57
103.5358,102.69680227222032,5.54
103.6144,102.89395676951229,5.49
103.6458,102.9578175692366,5.43
103.6388,103.1743480329823,5.46
103.6762,103.0558571963266,5.5
103.6298,102.98403901685943,5.48
103.5137,102.79203819645888,5.49
103.3981,102.7099368351649,5.46
102.867,102.98218395354856,5.48
103.5999,102.97429380862708,5.47
103.6586,102.98040335782804,5.5
103.6765,103.04566617787162,5.47
103.6722,102.96542416512725,5.47
103.6482,102.80344866443585,5.46
103.6599,102.80658699084796,5.44
103.6311,102.83532795474726,5.43
103.5556,102.7010063517114,5.45
103.4107,102.81387043730399,5.45
103.4662,102.82052681209474,5.47
103.4655,102.83329044857753,5.52
103.5015,102.88217976895015,5.49
103.5124,102.90292122773178,5.48
103.5998,102.91892492731697,5.5
103.6338,102.79256584898296,5.49
103.6336,102.75378877514969,5.5
102.09,102.56511364002463,5.53
102.8769,102.39637970609952,5.55
103.5542,102.46715107127345,5.57
103.583,102.29985702044893,5.54
103.4373,102.16187348362175,5.57
103.3516,102.19705394218958,5.51
103.345,102.33210513003971,5.52
103.2627,102.45259077897023,5.52
103.3711,102.41295768891067,5.52
102.7619,102.34330670466063,5.54
103.3999,102.34503993928489,5.5
103.4163,102.4080962674403,5.49
103.4397,102.38213122670294,5.5
103.4662,102.32897151967822,5.5
103.4363,102.34260371642762,5.49
103.4727,102.3883778846979,5.52
103.4146,102.33903820055991,5.51
103.446,102.20495080945253,5.5
103.4416,102.18194906365675,5.45
103.4373,102.32729717313794,5.42
103.4905,102.37248767598246,5.42
103.4917,102.37968583803948,5.34
102.44,102.25424738502628,5.29
103.5003,102.21439591692442,5.26
103.4672,102.24433046385786,5.24
103.4728,102.20843859276508,5.29
102.9003,102.21994426856666,5.28
102.7708,102.08165337363221,5.25
103.321,101.95358277207305,5.27
103.3217,101.81068045883997,5.31
102.5763,101.47451355207805,5.37
103.1861,101.11305547912905,5.39
102.4074,100.84247116585885,5.39
102.3701,100.62541545414469,5.36
102.3586,100.71727065127078,5.34
101.8415,100.71352433055803,5.37
102.1797,100.75728982102078,5.36
102.1593,100.72685960191146,5.44
102.1547,100.85233625207353,5.47
102.1703,100.98986660255234,5.46
102.2836,100.95295081066513,5.56
102.2537,100.92344940454149,5.48
102.1882,100.73047029203494,5.6
101.8994,100.66361472735275,5.59
101.9989,100.62431546396196,5.5
101.753,100.59043430545947,5.47
101.7378,100.54377813579697,5.62
101.6841,100.50808078422446,5.64
101.5105,100.21441870235083,5.59
101.3249,100.22352126456266,5.62
101.3199,100.09241210464734,5.6
101.2264,99.97029544441439,5.54
101.09,99.85914419644973,5.63
100.5231,99.96437116309171,5.61
100.538,99.91528509583853,5.56
100.9081,99.91265790738734,5.64
100.8588,99.89834970216589,5.58
100.8,99.89563456381612,5.48
100.9177,99.90830631157314,5.54
100.9167,99.98224350835314,5.53
100.9792,100.10253977141136,5.53
101.1642,99.9648550592283,5.5
101.2118,99.96188045017098,5.58
101.2049,99.98957035786692,5.61
