actual,model,stock
103.144,105.6177411448743,37.8693
102.981,105.66043309699225,37.8953
102.888,105.25582578577327,37.0634
103.161,105.2888239586223,37.2107
103.295,105.37252172575712,37.2454
103.344,105.0733732015564,36.7861
103.272,104.89475793082028,36.5262
103.578,104.73796748425937,36.4482
103.461,104.32743880422387,35.4603
103.4,104.1365637287602,35.0356
103.389,104.06558808852697,35.079
103.244,103.90636916805373,34.7843
103.158,103.94917102064235,34.8103
102.969,103.92036655618523,34.6977
103.062,103.76684240473841,34.2731
102.425,103.18422702259966,33.3198
102.602,103.00492512263696,32.8432
102.55,102.91632169185371,32.8952
102.554,102.96811397442094,32.9385
102.942,103.2274184751745,33.5971
103.054,103.29686279577551,33.8398
102.935,103.30391853550452,33.7964
103.014,103.27816096576272,33.9004
103.117,103.03877140402417,33.7271
103.202,103.14282784275116,33.9438
103.146,103.18405743230282,34.2037
103.253,103.23523566671318,34.2471
102.806,103.01216351838241,33.8224
103.231,103.36880708889471,34.3251
103.447,103.39014129186933,34.1691
103.3,103.06653960115399,34.0651
103.54,103.46884543520963,34.8017
103.81,103.90658611587386,35.5383
103.858,103.82910352195,35.3996
103.837,103.77636374310683,35.3389
103.785,103.54329891486167,34.7497
103.806,103.56749320278112,34.741
103.368,103.16549806752464,34.0997
103.648,103.06315476974723,33.8398
103.482,102.71169024842132,33.2505
103.368,102.6743166813726,33.1898
103.424,102.77620531730923,33.4065
103.54,102.93532467960213,33.6665
103.678,103.15944688924746,34.0564
103.787,103.10794454505822,34.0651
103.963,102.9656499985345,33.8658
104.069,103.09363059397496,34.0651
104.231,103.11671442700268,34.1257
104.198,102.54905072473579,32.8605
104.202,102.43574850174598,32.6699
104.252,102.24247393633198,32.3666
104.283,102.37538014803718,32.5052
104.157,102.17996801269763,32.0546
103.921,102.21407186114688,32.2799
104.248,102.30788909607229,32.5052
104.041,102.30087494156234,32.5052
104.147,102.03994668307315,32.0633
104.303,101.9227040374665,31.7687
104.226,101.82052024277523,31.6473
104.071,101.76417821173212,31.6387
104.435,101.70184017099805,31.526
104.397,101.78568401299023,31.6387
104.086,101.50376893444313,31.2227
104.081,101.40988331550071,31.1361
103.993,101.69423164261649,31.5867
104.154,101.83589266994579,31.89
103.999,101.78645601473849,31.8033
103.938,101.7455605425684,31.734
104.061,101.55793876171849,31.4567
103.783,101.34399570351309,31.0321
103.866,101.18933768275392,30.7288
103.989,101.06855618160513,30.4948
103.958,100.83391453261984,30.0268
103.548,100.69891442188138,29.9228
103.598,100.6586842666755,29.8535
103.285,100.6731200274291,29.8969
103.117,100.52787156450997,29.6109
102.225,100.46373244578105,29.4202
102.539,100.31601782162593,29.1429
102.228,100.17849504515209,28.9436
102.493,100.36430061720665,29.3422
102.344,100.13472349991456,28.7356
102.331,99.74531654842355,27.8691
102.356,99.4937062670815,27.5138
101.554,99.36397280785073,27.4011
101.41,99.36205303764143,27.6264
102.152,99.60795126447682,28.0077
102.768,99.75952772832291,28.337
103.297,100.0217930809332,29.0563
103.607,99.86764679320878,28.675
103.233,99.63771577501824,28.207
103.187,99.53481084156097,28.077
103.583,99.40037102399327,27.5918
102.698,98.98378475053491,26.8118
101.949,98.78263020972186,26.4739
102.188,99.00175120087289,26.8032
101.884,98.89002585298377,26.5085
102.078,98.65327652730393,26.1013
101.319,98.07341327614267,24.888
101.379,97.72448276963969,24.3074
101.541,98.07198574882615,25.2
102.007,98.7563162322187,26.7339
102.673,98.71192977176395,26.7339
102.34,98.21660659790216,25.694
102.441,98.2539299109322,25.8586
102.192,98.01175608004334,25.356
101.949,97.81864095523571,24.9574
102.219,97.67325246271622,24.6627
101.693,96.91413502658234,22.8343
101.168,96.77249760127782,22.4703
100.574,96.26735106816069,21.1098
99.447,96.07349684088034,20.6332
99.28,95.52862391127603,19.6106
98.632,95.20280322406006,18.848
98.076,94.9637207875426,18.1981
96.691,95.57374103302723,19.5933
97.242,95.93350054712538,20.4512
97.722,95.90526947126175,20.5378
98.422,95.94023995763442,20.6245
99.167,95.73053308138658,20.1825
97.486,95.00362223914148,18.4754
97.043,94.85458774739351,18.1634
96.041,94.72996242998069,17.8861
95.628,94.88297946934134,18.3021
93.985,95.08769426023333,18.8307
95.441,95.24009556071188,19.0993
95.178,91.89582120826076,18.562
95.982,95.39579873062995,19.446
96.699,95.51813564859071,19.7233
98.113,95.5987313471157,19.9832
99.249,95.59004237094436,19.9746
98.986,95.04712211947445,18.8567
96.316,94.36152647288645,17.5828
96.407,94.81506953124021,18.4407
96.628,94.87578356534245,18.6574
95.569,94.40798560125761,17.5655
95.088,94.1900087263784,17.1495
96.548,94.43133196295418,17.6175
94.182,94.52715806822552,17.7648
95.267,94.95620627413885,18.796
95.326,95.38888818652727,19.6886
93.907,94.9222516288696,18.7267
93.177,95.14779045353326,19.3853
90.944,94.62212657755104,18.1548
90.122,94.74635686646727,18.4407
89.426,95.20583125454635,19.4719
90.76,95.92695931625549,21.1531
90.348,95.75058801548813,20.9191
90.921,96.09696601086692,21.6297
90.912,95.65304382503678,20.7978
89.279,95.25455441039472,19.8446
88.261,94.94528999531606,19.1513
86.756,95.3597938005319,20.0179
87.951,95.80087107527302,20.9451
88.673,95.61393252159664,20.6852
90.26,95.91516120395187,21.4477
92.506,96.35851541245073,22.3057
92.489,95.98375611945602,21.6211
92.475,95.97843225647131,21.6211
93.313,95.89418558329925,21.5171
92.862,95.41093383924165,20.5032
93.601,95.49214608759213,20.6245
93.664,95.14109930418563,19.9139
93.687,95.47197713990917,20.6765
94.539,95.79709765471263,21.3524
95.481,95.63962027163485,21.0751
95.824,95.58036536643193,21.1011
98.271,96.59414390722192,23.5015
99.892,96.48820291453477,23.1982
98.648,96.07132114783259,22.1843
95.038,95.20797069573632,20.3645
95.183,95.2264402014509,20.2692
94.755,95.26658534826517,20.3732
94.635,95.13686831077197,20.0872
93.946,95.20427794251357,20.1045
94.46,95.21300687191277,20.2779
93.732,94.75716708900187,19.238
93.826,94.63205527868975,18.9607
92.902,94.42586171061346,18.5707
92.406,94.44726372214281,18.6314
91.72,94.3248107299527,18.3454
91.71,93.9902324019095,17.7301
91.345,93.93950964166375,17.5482
90.707,93.83411830602664,17.3142
89.892,93.67421198502056,17.0282
89.137,93.6614019977757,17.1409
89.246,94.13561770871318,18.2587
88.877,94.06532068044663,18.1808
89.56,94.4881315754001,19.03
89.815,94.33768852039739,18.7527
90.393,94.78682927600399,19.8186
91.946,94.98340595913129,20.2172
92.666,94.96330414921565,20.1825
92.698,94.8400055500007,19.9052
92.26,94.55551494325353,19.238
91.429,94.80464423254057,19.9139
91.507,94.5267822920742,19.1946
91.046,94.40535725584694,18.9953
91.144,94.22177894018014,18.6487
89.491,94.32512287262142,18.9693
90.248,94.17672247620847,18.5534
90.284,94.10601321253162,18.3974
90.069,94.20771166293238,18.7267
90.036,94.18547469305659,18.7614
90.037,94.26872169099997,18.9607
89.971,94.41226923781612,19.316
90.001,94.22212440822422,18.874
90.14,94.24593703925908,18.9433
90.111,94.31680590508128,19.1253
