actual,model,stock
112.021,106.97639694103934,13.75
111.913,106.38061178230103,13.48
111.941,106.60794000963003,13.53
112.143,107.30234616621694,13.79
112.114,107.55915930406627,13.92
112.575,107.63635618410898,13.95
112.678,107.18884018580081,13.74
112.668,107.688693847149,13.92
112.533,107.9516463564553,14.02
112.447,107.4967643723449,13.84
112.622,107.70273287192961,13.94
113.227,107.47404022463273,13.87
113.476,107.08487197482307,13.64
113.724,106.92082399535296,13.58
113.951,106.84557959155558,13.54
114.04,106.61976653054344,13.46
113.56,105.94909303692243,13.12
113.614,105.7066301941571,13.01
113.738,105.85715032196543,13.03
113.507,105.92861397027711,13.0
113.504,105.08790641510524,12.61
113.197,104.89839504193338,12.52
113.857,105.29179516532591,12.71
114.358,105.91635318187058,12.98
115.072,106.11818970448962,13.09
115.035,106.09700882318526,13.06
114.927,106.60924807486221,13.18
115.563,107.12422233831467,13.44
115.804,107.55437352591079,13.63
115.645,107.66260862385113,13.65
115.704,107.51674901843413,13.62
115.57,107.75180818497645,13.65
115.622,108.0307882953881,13.76
115.498,108.04413620830795,13.74
115.302,107.85020170033576,13.62
114.03,106.38362659093997,12.83
113.719,105.52940086446613,12.37
113.289,105.29343563138873,12.19
112.189,104.23836789646953,11.59
110.871,104.37038931565368,11.28
111.048,104.99056441851116,11.37
112.111,104.66666488728107,10.93
112.899,105.9486787209112,11.21
112.529,104.97631766428009,10.58
111.272,104.81552120179168,10.35
106.814,101.93123916955143,8.93
108.041,103.1066363037429,9.65
107.756,101.91108687721534,9.07
103.118,98.81095090717737,7.71
100.443,99.89817680104939,8.16
92.017,96.91423241966449,6.67
87.196,98.22146651075614,7.24
79.51,97.74204447244418,6.85
78.962,99.32207238702932,7.5
81.069,98.38515672851359,7.0
78.533,97.75641411513759,6.73
80.816,99.96882256085519,7.83
86.294,101.25414976841702,8.26
91.307,103.00019120594548,8.89
92.85,101.79192346704492,8.33
90.479,101.85279406131343,8.38
91.504,101.0769947645133,8.09
90.674,100.18255132944668,7.67
91.053,100.77983239296218,7.89
91.578,100.4240131957884,7.74
93.092,101.6052440987568,8.31
95.681,101.81873987404538,8.39
96.216,101.89864596165535,8.47
99.28,102.71924149080444,8.87
99.284,102.26000219663813,8.65
101.911,102.56031184374547,8.73
101.144,101.40711911897681,8.09
100.113,100.93846823693272,7.83
100.377,101.91349631525568,8.24
99.575,101.8084770387437,8.13
97.536,100.91364981717908,7.76
97.91,101.28336773145963,7.89
98.654,101.24710747812216,7.88
98.389,101.65411651209587,8.08
99.137,102.47056800497327,8.38
99.466,103.57668234457998,8.84
99.767,104.70353970982327,9.37
100.169,104.08335384748867,9.04
99.886,103.20774126453506,8.67
99.11,103.0131864371449,8.52
99.553,102.44007346983905,8.25
99.684,102.2026776435269,8.13
99.666,102.6564277190882,8.3
99.759,102.90050579065107,8.41
100.024,102.44045336594624,8.18
100.269,102.0704647655902,8.0
99.916,101.5475683791514,7.73
98.561,101.68861449019053,7.78
98.268,101.42587289539445,7.66
98.496,103.21804530453208,8.47
99.431,102.93898760091106,8.31
100.596,103.49629306825874,8.55
100.857,103.29696163534906,8.46
100.675,102.84175311584353,8.26
101.905,104.08436356274716,8.77
103.09,105.18100513743418,9.28
103.108,105.31904202737137,9.31
102.557,104.76837701848066,9.06
102.18,105.2718825008558,9.25
102.447,106.03719013707307,9.59
103.386,107.323378650384,10.17
103.977,107.43562465411775,10.21
105.586,107.9427946453909,10.47
105.738,109.01836645021291,10.95
104.968,108.52323942071266,10.71
104.414,108.20454165859292,10.53
103.25,106.47999167505694,9.74
103.27,107.01227375323278,9.97
102.915,107.2500199045516,10.02
104.252,107.61497079011916,10.2
104.216,107.55138501857994,10.18
103.814,107.55465311024163,10.17
103.772,107.44018853694277,10.1
103.441,107.78270262628858,10.2
103.833,108.08048093408053,10.35
103.762,107.212454693267,9.91
103.439,107.98256453680331,10.26
103.558,107.39822316208529,9.99
103.297,107.8663670784876,10.15
