loss,l1,b,a
-25.11323469960077,21.640479052713868,22.48950930113449,1
-24.311202650502516,17.474285963366512,36.31931280556597,2
-23.267002225750385,16.627073836632917,51.83784322822552,3
-22.10012386850431,16.6253315184553,69.10987688348598,4
-20.889061090815996,16.92934305128413,87.96692319748425,5
