loss,l1,b,a
-5.083722671887264,19.178479134512585,17.359436822925986,1
-4.80814211779151,17.827366522359934,32.27302182828156,2
-4.188721731393132,18.672417342939568,50.70422963631259,3
-3.456883982224467,19.93937646587638,72.19251662310363,4
-2.7018384585552826,21.284568148903357,96.32906942833517,5
